title,years,link
"The Earth Fiend,",published 1892,https://www.nga.gov/content/dam/ngaweb/placeholders/placeholder-lg.svg
"The Violinist,",1929,"https://media.nga.gov/iiif/7fe9889a-1adf-4a4e-9b75-acd268d827b0/full/!588,600/0/default.jpg"
"President Coolidge,",1925,"https://media.nga.gov/iiif/668d539e-c8d3-4ea4-9cff-2a453cd11eda/full/!588,600/0/default.jpg"
"In the Rain: Mother and Children (Sous la pluie: La mere et les enfants),",1915,"https://media.nga.gov/iiif/26ad819a-ec8d-4569-9042-d106a0e09849/full/!588,600/0/default.jpg"
"Poor People (Les pauvres gens),",1914,"https://media.nga.gov/iiif/01219032-6cfe-43cc-ac47-8575e096851f/full/!588,600/0/default.jpg"
"Three Companions (Les trois compagnons),",1912,"https://media.nga.gov/iiif/69d8da9d-20b2-445f-85d7-477d045fa6ce/full/!588,600/0/default.jpg"
"Tramp with Bundle (Le chemineau a la besace),",1914,"https://media.nga.gov/iiif/b26254fe-7a25-44ca-85f0-622d525f0e46/full/!588,600/0/default.jpg"
"Sailors' Wives,",1896,"https://media.nga.gov/iiif/c6b8d5ca-fda4-4c66-aa9e-18693c276e55/full/!588,600/0/default.jpg"
"C'est ici, chez nous!,",1916,"https://media.nga.gov/iiif/2af4f617-33e1-4e80-96bf-44a5e016610b/full/!588,600/0/default.jpg"
"La chienne au loup,",1900,"https://media.nga.gov/iiif/3b2a90ad-6cdf-4285-9b2c-0f2e4e3b0b77/full/!588,600/0/default.jpg"
"Beyond Chadwell Saint Mary,",1927,"https://media.nga.gov/iiif/744df336-89d1-4b82-9267-3b1ffdc979ca/full/!588,600/0/default.jpg"
"The Flight, Holy Family Walking with Angel,",published 1753,"https://media.nga.gov/iiif/e34563ef-9d79-4bb6-9a21-1620d9c9817c/full/!588,600/0/default.jpg"
"James McBey,",1929,"https://media.nga.gov/iiif/b9ee3ef7-6061-42ff-8246-3c83c443d5b5/full/!588,600/0/default.jpg"
"Frontispiece,",published 1812,"https://media.nga.gov/iiif/9b996769-c3e4-4fe0-83b5-f0aee9dfa02c/full/!588,600/0/default.jpg"
"Jason,",published 1807,"https://media.nga.gov/iiif/1935dbb7-277e-4832-93bc-9650d43a4b3d/full/!588,600/0/default.jpg"
"Holy Island Cathedral,",published 1808,"https://media.nga.gov/iiif/089604c3-e832-4720-9798-d2f8b702e850/full/!588,600/0/default.jpg"
"The Fifth Plague of Egypt,",published 1808,"https://media.nga.gov/iiif/eafddd44-bbd6-4762-81fe-6ce1db3917e2/full/!588,600/0/default.jpg"
"Morpeth,",published 1809,"https://media.nga.gov/iiif/2c96ec98-38a2-4a67-bd7c-2dfd69256289/full/!588,600/0/default.jpg"
"London from Greenwich,",published 1811,"https://media.nga.gov/iiif/2ef0bf8b-4e62-4c4c-8b98-a9986bbdbcf5/full/!588,600/0/default.jpg"
"Lauffenbourgh on the Rhine,",published 1811,"https://media.nga.gov/iiif/dd2eb5f8-0c06-4bfe-8e25-b5fecae5df2f/full/!588,600/0/default.jpg"
"From Spenser's Fairy Queen,",published 1811,"https://media.nga.gov/iiif/b279ac4f-abe7-45b1-9ded-c21cfbe37778/full/!588,600/0/default.jpg"
"Procris and Cephalus,",published 1812,"https://media.nga.gov/iiif/688ae1f6-f1b9-4951-abf9-a457ea3c04ea/full/!588,600/0/default.jpg"
"Rispah,",published 1812,"https://media.nga.gov/iiif/f74b30d1-f167-4be2-b443-1d33adc6780d/full/!588,600/0/default.jpg"
"Rivaux Abbey,",published 1812,"https://media.nga.gov/iiif/948cd2b3-7de5-42bd-a8df-eec7b8a24902/full/!588,600/0/default.jpg"
"Dumblain Abbey,",published 1816,"https://media.nga.gov/iiif/fbf699a6-af43-49ad-b213-05f383a4aa4b/full/!588,600/0/default.jpg"
"Tenth Plague of Egypt,",published 1816,"https://media.nga.gov/iiif/a9aca07e-9ccc-435e-9d3a-e3c0bdfb8448/full/!588,600/0/default.jpg"
"Aesacus and Hesperie,",published 1819,"https://media.nga.gov/iiif/98f0ecc5-4c87-4018-872d-bf24d5363d80/full/!588,600/0/default.jpg"
"The Woman of Samaria,",published 1819,"https://media.nga.gov/iiif/79881990-bb7c-4379-9189-c060507b3e2e/full/!588,600/0/default.jpg"
"In the Park,",1942,"https://media.nga.gov/iiif/4d9c42fb-ae1d-4ae5-9da1-bc0392a3ea3e/full/!588,600/0/default.jpg"
"Tombstone,",1942,"https://media.nga.gov/iiif/188a8096-23cc-4d81-b8ea-81ff7f1e5a34/full/!588,600/0/default.jpg"
"Recumbent Cow,",1657,"https://media.nga.gov/iiif/0b223cf2-2255-4a87-93c6-b9181ed6e5f7/full/!588,600/0/default.jpg"
"Grazing Horse,",c. 1657/1659,"https://media.nga.gov/iiif/c8168097-040d-44e0-b68e-2d4a0af1f6c8/full/!588,600/0/default.jpg"
"Pieter Bruegel the Younger,",probably 1626/1641,"https://media.nga.gov/iiif/c89b40bd-e0d5-4c00-82b0-dd5aeda3d5ff/full/!588,600/0/default.jpg"
"Jodocus de Momper,",probably 1626/1641,"https://media.nga.gov/iiif/4d4973e4-0d9d-4101-8187-65848a3e4e2a/full/!588,600/0/default.jpg"
"Lucas Vorsterman,",probably 1626/1641,"https://media.nga.gov/iiif/ec409abb-a7ba-4f2d-85c2-e4fc97ffa348/full/!588,600/0/default.jpg"
"Adriaen Brouwer,",probably 1626/1641,"https://media.nga.gov/iiif/576c7be5-8103-4e21-b296-b32040342e28/full/!588,600/0/default.jpg"
"Adam de Coster,",probably 1626/1641,"https://media.nga.gov/iiif/235b66c4-5386-47e4-b6a6-82f960131348/full/!588,600/0/default.jpg"
"Paulus Pontius,",probably 1626/1641,"https://media.nga.gov/iiif/c23b8add-bbe1-4791-bb8d-4899e27b10ca/full/!588,600/0/default.jpg"
"Orazio Gentileschi,",probably 1626/1641,"https://media.nga.gov/iiif/525c828f-20c0-43c5-a9e5-9133cb001de8/full/!588,600/0/default.jpg"
"Joannes Meyssens,",probably 1626/1641,"https://media.nga.gov/iiif/a4c69bcc-1613-474c-8d8a-6a35b068acb5/full/!588,600/0/default.jpg"
"Peasant Couple in a Doorway (Village Romance),",1667,"https://media.nga.gov/iiif/2f87c858-7cc3-4c8d-a259-b870e3d50a1e/full/!588,600/0/default.jpg"
"The Singers,",probably 1667,"https://media.nga.gov/iiif/ebf58387-862a-4ced-b22a-7aa9d1e869e0/full/!588,600/0/default.jpg"
"The Angler,",probably 1653,"https://media.nga.gov/iiif/e7603448-4e4b-4c0c-990c-b90fa115e93d/full/!588,600/0/default.jpg"
"The Pater Familias (Le Pere de famille),",1648,"https://media.nga.gov/iiif/456673b8-8959-4dfd-87f6-f19d7fa38bf0/full/!588,600/0/default.jpg"
"Quacksalver,",1648,"https://media.nga.gov/iiif/2cc2a26f-a9f2-4863-94b9-1c82880dff68/full/!588,600/0/default.jpg"
"Dance under the Trellis,",probably 1652,"https://media.nga.gov/iiif/7e347d59-2273-4d74-abc4-ac078819da0c/full/!588,600/0/default.jpg"
"Brawl in an Inn,",c. 1635,"https://media.nga.gov/iiif/3702a55e-ce38-470e-8181-70d0f585f0bd/full/!588,600/0/default.jpg"
"Christ and the Woman of Samaria,",1523,"https://media.nga.gov/iiif/8f41fd84-9feb-453e-b037-35f7127a4fa5/full/!588,600/0/default.jpg"
"Procession of Feasting Lepers,",1608,"https://media.nga.gov/iiif/5a566778-0d6d-4146-9d80-57e5035130cf/full/!588,600/0/default.jpg"
"Beggar Carrying a Woman on His Back,",1632,"https://media.nga.gov/iiif/ba2cfcd6-48a2-4599-8ce0-030dd9ab5754/full/!588,600/0/default.jpg"
"The Rat Catcher,",1632,"https://media.nga.gov/iiif/fd80fd58-28ab-430a-87e9-fee209b373a4/full/!588,600/0/default.jpg"
"Westminster Abbey,",c. 1923,"https://media.nga.gov/iiif/03f7e9a8-b431-4b7f-b149-57236cb701ad/full/!588,600/0/default.jpg"
"La Rochelle,",1928,"https://media.nga.gov/iiif/62accf3c-6183-4b80-929f-4ab50b7ff3df/full/!588,600/0/default.jpg"
"Saint Benedict,",1510/1515,"https://media.nga.gov/iiif/fdebc0a7-ed8f-4383-a1df-2b5e4695a1b1/full/!588,600/0/default.jpg"
"Page from Geschlechter Buch - Ausberg,",1550,"https://media.nga.gov/iiif/06d9b930-6780-41b0-aec2-2e166f1e2704/full/!588,600/0/default.jpg"
"Lock House,",1942,"https://media.nga.gov/iiif/2885e44b-330f-4e9e-b034-afa96b83e375/full/!588,600/0/default.jpg"
"Waterfront,",1936,"https://media.nga.gov/iiif/ba9665dc-c9ed-41c3-b94e-04c8ade33660/full/!588,600/0/default.jpg"
"Goblet with lid surmounted by a Roman soldier,",published 1579,"https://media.nga.gov/iiif/9bd01f13-4a07-449a-951d-f9857851e273/full/!588,600/0/default.jpg"
"Goblet, rim decorated with masque with gaping mouth,",published 1579,"https://media.nga.gov/iiif/654f6019-7ee4-4ae3-b90d-d7fa73568f3a/full/!588,600/0/default.jpg"
"Little Arthur,",c. 1857/1858,"https://media.nga.gov/iiif/e3fc0ebe-a8a2-41db-81f4-db3b867e6570/full/!588,600/0/default.jpg"
"The Unsafe Tenement,",1858,"https://media.nga.gov/iiif/174bf31d-aee1-4b67-bb46-bc81f821e789/full/!588,600/0/default.jpg"
"La Vieille aux Loques,",1858,"https://media.nga.gov/iiif/156df755-328c-495b-a730-d48497240798/full/!588,600/0/default.jpg"
"The Kitchen,",1858,"https://media.nga.gov/iiif/83d285e1-c992-41d7-aa3c-d6ecd8021239/full/!588,600/0/default.jpg"
"The Music-Room,",1858,"https://media.nga.gov/iiif/6138f26f-385e-4e6c-905c-5090cf9cb441/full/!588,600/0/default.jpg"
"Old Westminster Bridge,",1859,"https://media.nga.gov/iiif/6c054f1b-a1fa-459d-b4d3-85a0eb72d581/full/!588,600/0/default.jpg"
